nil	cat	day	diff
23	Professional & Other Places	2014-09-02	3
23	Professional & Other Places	2014-09-03	4
23	Professional & Other Places	2014-09-04	6
23	Professional & Other Places	2014-09-05	5
23	Professional & Other Places	2014-09-06	5
23	Professional & Other Places	2014-09-07	1
23	Shop & Service	2014-09-02	4
23	Shop & Service	2014-09-03	6
23	Shop & Service	2014-09-04	11
23	Shop & Service	2014-09-05	5
23	Shop & Service	2014-09-06	4
23	Shop & Service	2014-09-07	13
23	Travel & Transport	2014-09-02	1
23	Travel & Transport	2014-09-03	6
23	Travel & Transport	2014-09-04	5
23	Travel & Transport	2014-09-05	7
23	Travel & Transport	2014-09-06	6
23	Travel & Transport	2014-09-07	0
24	Arts & Entertainment	2014-09-02	1
24	Arts & Entertainment	2014-09-03	0
24	Arts & Entertainment	2014-09-04	1
24	Arts & Entertainment	2014-09-05	0
24	Arts & Entertainment	2014-09-06	0
24	Arts & Entertainment	2014-09-07	0
24	Food	2014-09-02	0
24	Food	2014-09-03	3
24	Food	2014-09-04	1
24	Food	2014-09-05	1
24	Food	2014-09-06	2
24	Food	2014-09-07	0
24	Nightlife Spot	2014-09-02	0
24	Nightlife Spot	2014-09-03	0
24	Nightlife Spot	2014-09-04	0
24	Nightlife Spot	2014-09-05	2
24	Nightlife Spot	2014-09-06	0
24	Nightlife Spot	2014-09-07	8
24	Outdoors & Recreation	2014-09-02	1
24	Outdoors & Recreation	2014-09-03	1
24	Outdoors & Recreation	2014-09-04	0
24	Outdoors & Recreation	2014-09-05	0
24	Outdoors & Recreation	2014-09-06	0
24	Outdoors & Recreation	2014-09-07	6
24	Professional & Other Places	2014-09-02	0
24	Professional & Other Places	2014-09-03	2
24	Professional & Other Places	2014-09-04	2
24	Professional & Other Places	2014-09-05	3
24	Professional & Other Places	2014-09-06	3
24	Professional & Other Places	2014-09-07	0
24	Shop & Service	2014-09-02	0
24	Shop & Service	2014-09-03	1
24	Shop & Service	2014-09-04	0
24	Shop & Service	2014-09-05	0
24	Shop & Service	2014-09-06	0
24	Shop & Service	2014-09-07	0
25	Arts & Entertainment	2014-09-02	0
25	Arts & Entertainment	2014-09-03	0
25	Arts & Entertainment	2014-09-04	0
25	Arts & Entertainment	2014-09-05	0
25	Arts & Entertainment	2014-09-06	0
25	Arts & Entertainment	2014-09-07	1
25	Food	2014-09-02	2
25	Food	2014-09-03	7
25	Food	2014-09-04	2
25	Food	2014-09-05	4
25	Food	2014-09-06	3
25	Food	2014-09-07	4
